DATE,CUURA207SAM
1990-01-01,156.200
1990-02-01,157.600
1990-03-01,158.900
1990-04-01,160.200
1990-05-01,161.500
1990-06-01,162.000
1990-07-01,164.300
1990-08-01,165.300
1990-09-01,166.800
1990-10-01,167.400
1990-11-01,168.000
1990-12-01,168.200
1991-01-01,170.200
1991-02-01,172.900
1991-03-01,175.000
1991-04-01,175.700
1991-05-01,176.400
1991-06-01,176.900
1991-07-01,179.200
1991-08-01,179.700
1991-09-01,181.300
1991-10-01,181.300
1991-11-01,183.000
1991-12-01,183.700
1992-01-01,185.100
1992-02-01,186.900
1992-03-01,189.400
1992-04-01,189.500
1992-05-01,189.900
1992-06-01,190.200
1992-07-01,191.300
1992-08-01,191.700
1992-09-01,193.100
1992-10-01,192.900
1992-11-01,194.000
1992-12-01,194.700
1993-01-01,198.400
1993-02-01,199.300
1993-03-01,200.500
1993-04-01,201.000
1993-05-01,202.100
1993-06-01,203.100
1993-07-01,204.800
1993-08-01,205.300
1993-09-01,205.300
1993-10-01,205.400
1993-11-01,205.700
1993-12-01,206.200
1994-01-01,209.600
1994-02-01,210.800
1994-03-01,211.100
1994-04-01,211.100
1994-05-01,211.600
1994-06-01,212.900
1994-07-01,214.500
1994-08-01,214.200
1994-09-01,215.000
1994-10-01,215.200
1994-11-01,215.500
1994-12-01,217.000
1995-01-01,220.800
1995-02-01,221.700
1995-03-01,221.900
1995-04-01,222.300
1995-05-01,223.200
1995-06-01,222.600
1995-07-01,223.700
1995-08-01,224.500
1995-09-01,224.500
1995-10-01,225.200
1995-11-01,225.400
1995-12-01,224.200
1996-01-01,227.300
1996-02-01,227.900
1996-03-01,228.100
1996-04-01,228.100
1996-05-01,228.300
1996-06-01,229.300
1996-07-01,230.700
1996-08-01,229.500
1996-09-01,230.000
1996-10-01,231.300
1996-11-01,231.000
1996-12-01,231.700
1997-01-01,233.400
1997-02-01,234.200
1997-03-01,234.400
1997-04-01,234.700
1997-05-01,235.300
1997-06-01,235.600
1997-07-01,236.600
1997-08-01,235.600
1997-09-01,235.200
1997-10-01,236.800
1997-11-01,236.700
1997-12-01,237.000
1998-01-01,238.700
1998-02-01,239.300
1998-03-01,241.300
1998-04-01,244.400
1998-05-01,244.800
1998-06-01,244.200
1998-07-01,246.500
1998-08-01,246.200
1998-09-01,246.500
1998-10-01,246.600
1998-11-01,246.700
1998-12-01,246.600
1999-01-01,250.000
1999-02-01,251.400
1999-03-01,250.400
1999-04-01,251.600
1999-05-01,252.700
1999-06-01,253.900
1999-07-01,255.100
1999-08-01,255.100
1999-09-01,254.300
1999-10-01,256.500
1999-11-01,255.500
1999-12-01,256.200
2000-01-01,256.900
2000-02-01,257.700
2000-03-01,258.200
2000-04-01,259.200
2000-05-01,257.400
2000-06-01,258.200
2000-07-01,258.600
2000-08-01,260.300
2000-09-01,260.900
2000-10-01,261.700
2000-11-01,261.800
2000-12-01,262.600
2001-01-01,266.700
2001-02-01,270.100
2001-03-01,271.100
2001-04-01,270.800
2001-05-01,270.400
2001-06-01,272.400
2001-07-01,272.400
2001-08-01,272.800
2001-09-01,273.600
2001-10-01,274.400
2001-11-01,275.700
2001-12-01,275.800
2002-01-01,277.300
2002-02-01,278.100
2002-03-01,279.200
2002-04-01,275.900
2002-05-01,277.700
2002-06-01,278.100
2002-07-01,281.500
2002-08-01,280.700
2002-09-01,281.900
2002-10-01,286.700
2002-11-01,285.800
2002-12-01,287.100
2003-01-01,291.800
2003-02-01,292.300
2003-03-01,291.700
2003-04-01,289.800
2003-05-01,290.600
2003-06-01,290.300
2003-07-01,291.900
2003-08-01,291.500
2003-09-01,292.500
2003-10-01,293.300
2003-11-01,293.600
2003-12-01,293.600
2004-01-01,290.200
2004-02-01,300.400
2004-03-01,302.400
2004-04-01,304.000
2004-05-01,304.400
2004-06-01,304.200
2004-07-01,305.100
2004-08-01,306.700
2004-09-01,308.800
2004-10-01,309.000
2004-11-01,308.500
2004-12-01,309.300
2005-01-01,314.900
2005-02-01,315.100
2005-03-01,319.100
2005-04-01,321.100
2005-05-01,320.400
2005-06-01,322.100
2005-07-01,322.100
2005-08-01,321.500
2005-09-01,321.100
2005-10-01,323.000
2005-11-01,326.400
2005-12-01,328.500
2006-01-01,329.900
2006-02-01,333.400
2006-03-01,333.300
2006-04-01,334.900
2006-05-01,335.600
2006-06-01,334.200
2006-07-01,336.100
2006-08-01,335.900
2006-09-01,336.900
2006-10-01,338.400
2006-11-01,337.500
2006-12-01,338.300
2007-01-01,340.382
2007-02-01,341.935
2007-03-01,342.688
2007-04-01,344.248
2007-05-01,343.248
2007-06-01,343.916
2007-07-01,344.739
2007-08-01,345.404
2007-09-01,354.782
2007-10-01,360.037
2007-11-01,359.188
2007-12-01,359.883
2008-01-01,360.723
2008-02-01,360.716
2008-03-01,362.422
2008-04-01,361.733
2008-05-01,361.983
2008-06-01,360.748
2008-07-01,361.668
2008-08-01,360.271
2008-09-01,362.601
2008-10-01,371.944
2008-11-01,372.218
2008-12-01,372.332
2009-01-01,370.388
2009-02-01,370.487
2009-03-01,372.987
2009-04-01,372.997
2009-05-01,390.031
2009-06-01,389.466
2009-07-01,389.438
2009-08-01,389.091
2009-09-01,391.536
2009-10-01,394.966
2009-11-01,394.698
2009-12-01,394.483
2010-01-01,402.476
2010-02-01,407.745
2010-03-01,407.246
2010-04-01,406.841
2010-05-01,406.959
2010-06-01,407.067
2010-07-01,408.273
2010-08-01,410.442
2010-09-01,412.070
2010-10-01,413.018
2010-11-01,412.630
2010-12-01,413.081
2011-01-01,417.643
2011-02-01,419.458
2011-03-01,418.932
2011-04-01,418.924
2011-05-01,417.412
2011-06-01,417.642
2011-07-01,418.843
2011-08-01,418.208
2011-09-01,415.876
2011-10-01,420.903
2011-11-01,421.244
2011-12-01,422.178
2012-01-01,426.122
2012-02-01,428.202
2012-03-01,430.329
2012-04-01,430.037
2012-05-01,430.400
2012-06-01,431.229
2012-07-01,434.653
2012-08-01,434.702
2012-09-01,437.720
2012-10-01,436.840
2012-11-01,436.331
2012-12-01,437.122
2013-01-01,441.699
2013-02-01,442.785
2013-03-01,442.477
2013-04-01,443.062
2013-05-01,442.062
2013-06-01,442.021
2013-07-01,442.744
2013-08-01,443.157
2013-09-01,442.648
2013-10-01,443.417
2013-11-01,444.155
2013-12-01,444.031
2014-01-01,446.363
2014-02-01,447.092
2014-03-01,447.784
2014-04-01,448.392
2014-05-01,448.599
2014-06-01,447.858
2014-07-01,450.545
2014-08-01,451.769
2014-09-01,452.421
2014-10-01,456.734
2014-11-01,455.082
2014-12-01,456.459
2015-01-01,462.307
2015-02-01,463.965
2015-03-01,460.288
2015-04-01,462.420
2015-05-01,463.528
2015-06-01,463.984
2015-07-01,463.774
2015-08-01,464.167
2015-09-01,464.155
2015-10-01,465.204
2015-11-01,466.513
2015-12-01,465.295
2016-01-01,467.447
2016-02-01,470.690
2016-03-01,471.737
2016-04-01,472.816
2016-05-01,474.288
2016-06-01,473.954
2016-07-01,474.663
2016-08-01,476.255
2016-09-01,480.887
2016-10-01,482.970
2016-11-01,498.174
2016-12-01,495.526
2017-01-01,492.224
2017-02-01,492.667
2017-03-01,491.401
2017-04-01,490.939
2017-05-01,493.445
2017-06-01,494.011
2017-07-01,502.061
2017-08-01,502.922
2017-09-01,501.161
2017-10-01,498.577
2017-11-01,501.858
2017-12-01,499.057
2018-01-01,497.882
2018-02-01,497.396
2018-03-01,497.203
2018-04-01,499.220
2018-05-01,504.205
2018-06-01,507.411
2018-07-01,505.584
2018-08-01,506.753
2018-09-01,505.523
2018-10-01,506.167
2018-11-01,505.134
2018-12-01,505.970
2019-01-01,510.187
2019-02-01,509.601
2019-03-01,506.633
2019-04-01,474.623
2019-05-01,499.410
2019-06-01,500.230
2019-07-01,.
2019-08-01,515.597
2019-09-01,507.079
2019-10-01,536.308
2019-11-01,525.046
2019-12-01,526.094
2020-01-01,.
2020-02-01,532.972
2020-03-01,532.510
2020-04-01,531.220
2020-05-01,532.128
2020-06-01,534.562
2020-07-01,536.764
2020-08-01,535.786
2020-09-01,538.491
2020-10-01,536.920
2020-11-01,534.148
2020-12-01,533.028
2021-01-01,536.511
2021-02-01,533.523
2021-03-01,533.409
2021-04-01,532.683
2021-05-01,533.658
2021-06-01,532.015
2021-07-01,529.040
2021-08-01,527.899
2021-09-01,526.810
2021-10-01,528.682
2021-11-01,528.021
2021-12-01,531.801
2022-01-01,537.136
2022-02-01,534.124
2022-03-01,536.127
2022-04-01,536.702
