DATE,CUURA421SETB
1990-01-01,82.000
1990-02-01,84.600
1990-03-01,86.800
1990-04-01,88.200
1990-05-01,92.000
1990-06-01,94.000
1990-07-01,96.500
1990-08-01,104.800
1990-09-01,110.200
1990-10-01,116.100
1990-11-01,116.600
1990-12-01,115.300
1991-01-01,103.400
1991-02-01,91.000
1991-03-01,82.900
1991-04-01,86.900
1991-05-01,95.400
1991-06-01,95.500
1991-07-01,91.800
1991-08-01,93.300
1991-09-01,96.300
1991-10-01,95.100
1991-11-01,94.600
1991-12-01,95.400
1992-01-01,95.900
1992-02-01,97.500
1992-03-01,97.600
1992-04-01,99.500
1992-05-01,105.600
1992-06-01,110.300
1992-07-01,111.700
1992-08-01,111.100
1992-09-01,110.500
1992-10-01,110.800
1992-11-01,113.200
1992-12-01,112.200
1993-01-01,111.700
1993-02-01,111.800
1993-03-01,111.000
1993-04-01,108.400
1993-05-01,106.900
1993-06-01,107.200
1993-07-01,105.900
1993-08-01,103.500
1993-09-01,103.900
1993-10-01,107.900
1993-11-01,105.700
1993-12-01,101.600
1994-01-01,99.100
1994-02-01,98.900
1994-03-01,100.100
1994-04-01,101.700
1994-05-01,102.900
1994-06-01,105.500
1994-07-01,107.100
1994-08-01,108.000
1994-09-01,107.800
1994-10-01,110.300
1994-11-01,110.700
1994-12-01,107.700
1995-01-01,106.700
1995-02-01,105.300
1995-03-01,104.400
1995-04-01,104.800
1995-05-01,106.300
1995-06-01,106.400
1995-07-01,103.800
1995-08-01,101.300
1995-09-01,99.100
1995-10-01,100.000
1995-11-01,99.500
1995-12-01,98.500
1996-01-01,99.200
1996-02-01,99.500
1996-03-01,103.300
1996-04-01,114.500
1996-05-01,122.000
1996-06-01,115.500
1996-07-01,111.600
1996-08-01,104.500
1996-09-01,100.200
1996-10-01,96.400
1996-11-01,91.200
1996-12-01,94.400
1997-01-01,97.600
1997-02-01,99.200
1997-03-01,103.600
1997-04-01,107.700
1997-05-01,106.600
1997-06-01,104.200
1997-07-01,101.200
1997-08-01,107.400
1997-09-01,113.900
1997-10-01,111.700
1997-11-01,108.000
1997-12-01,104.200
1998-01-01,97.500
1998-02-01,88.700
1998-03-01,82.600
1998-04-01,87.000
1998-05-01,96.400
1998-06-01,95.000
1998-07-01,93.200
1998-08-01,91.500
1998-09-01,91.000
1998-10-01,91.300
1998-11-01,91.300
1998-12-01,92.100
1999-01-01,91.800
1999-02-01,91.300
1999-03-01,95.000
1999-04-01,120.300
1999-05-01,114.400
1999-06-01,104.200
1999-07-01,105.300
1999-08-01,112.300
1999-09-01,107.900
1999-10-01,104.300
1999-11-01,103.000
1999-12-01,106.800
2000-01-01,103.700
2000-02-01,108.500
2000-03-01,131.400
2000-04-01,131.700
2000-05-01,124.800
2000-06-01,123.200
2000-07-01,128.100
2000-08-01,122.700
2000-09-01,133.300
2000-10-01,134.200
2000-11-01,131.000
2000-12-01,124.000
2001-01-01,119.100
2001-02-01,123.300
2001-03-01,126.500
2001-04-01,135.100
2001-05-01,153.900
2001-06-01,152.200
2001-07-01,140.500
2001-08-01,122.400
2001-09-01,124.800
2001-10-01,114.100
2001-11-01,101.000
2001-12-01,87.500
2002-01-01,94.300
2002-02-01,104.500
2002-03-01,119.500
2002-04-01,127.000
2002-05-01,124.400
2002-06-01,124.900
2002-07-01,126.100
2002-08-01,126.700
2002-09-01,126.000
2002-10-01,121.800
2002-11-01,125.400
2002-12-01,121.500
2003-01-01,127.300
2003-02-01,145.100
2003-03-01,167.500
2003-04-01,164.200
2003-05-01,145.300
2003-06-01,136.400
2003-07-01,134.300
2003-08-01,146.800
2003-09-01,160.600
2003-10-01,146.000
2003-11-01,135.100
2003-12-01,132.000
2004-01-01,136.000
2004-02-01,152.600
2004-03-01,169.900
2004-04-01,172.100
2004-05-01,180.300
2004-06-01,181.600
2004-07-01,172.300
2004-08-01,163.300
2004-09-01,163.800
2004-10-01,186.600
2004-11-01,183.800
2004-12-01,166.600
2005-01-01,154.600
2005-02-01,166.600
2005-03-01,183.800
2005-04-01,203.300
2005-05-01,195.900
2005-06-01,186.500
2005-07-01,199.500
2005-08-01,213.100
2005-09-01,230.400
2005-10-01,225.900
2005-11-01,201.700
2005-12-01,179.400
2006-01-01,190.000
2006-02-01,199.500
2006-03-01,205.400
2006-04-01,231.000
2006-05-01,262.200
2006-06-01,253.500
2006-07-01,253.900
2006-08-01,249.300
2006-09-01,225.800
2006-10-01,197.200
2006-11-01,190.200
2006-12-01,197.100
2007-01-01,197.828
2007-02-01,204.220
2007-03-01,238.444
2007-04-01,256.907
2007-05-01,267.273
2007-06-01,250.241
2007-07-01,239.836
2007-08-01,221.620
2007-09-01,224.339
2007-10-01,237.620
2007-11-01,259.055
2007-12-01,253.531
2008-01-01,249.700
2008-02-01,246.194
2008-03-01,277.009
2008-04-01,295.134
2008-05-01,308.766
2008-06-01,352.248
2008-07-01,350.712
2008-08-01,316.158
2008-09-01,292.610
2008-10-01,263.411
2008-11-01,191.643
2008-12-01,144.131
2009-01-01,156.258
2009-02-01,174.020
2009-03-01,170.687
2009-04-01,182.007
2009-05-01,194.836
2009-06-01,229.353
2009-07-01,225.183
2009-08-01,235.804
2009-09-01,241.170
2009-10-01,236.109
2009-11-01,231.815
2009-12-01,228.901
2010-01-01,237.449
2010-02-01,231.099
2010-03-01,239.587
2010-04-01,241.519
2010-05-01,242.146
2010-06-01,240.119
2010-07-01,242.694
2010-08-01,242.835
2010-09-01,232.314
2010-10-01,241.824
2010-11-01,245.154
2010-12-01,254.022
2011-01-01,261.299
2011-02-01,272.221
2011-03-01,309.441
2011-04-01,327.742
2011-05-01,327.289
2011-06-01,306.844
2011-07-01,297.345
2011-08-01,294.016
2011-09-01,306.776
2011-10-01,301.563
2011-11-01,297.199
2011-12-01,280.305
2012-01-01,292.072
2012-02-01,311.808
2012-03-01,342.228
2012-04-01,331.156
2012-05-01,335.088
2012-06-01,310.124
2012-07-01,293.981
2012-08-01,315.186
2012-09-01,323.158
2012-10-01,347.892
2012-11-01,302.659
2012-12-01,284.737
2013-01-01,290.072
2013-02-01,328.055
2013-03-01,326.080
2013-04-01,312.336
2013-05-01,314.177
2013-06-01,315.294
2013-07-01,317.705
2013-08-01,305.978
2013-09-01,309.888
2013-10-01,291.092
2013-11-01,280.949
2013-12-01,282.896
2014-01-01,283.685
2014-02-01,294.504
2014-03-01,312.780
2014-04-01,328.506
2014-05-01,325.394
2014-06-01,321.804
2014-07-01,316.382
2014-08-01,300.708
2014-09-01,291.985
2014-10-01,273.641
2014-11-01,247.502
2014-12-01,219.410
2015-01-01,196.162
2015-02-01,219.228
2015-03-01,258.782
2015-04-01,249.347
2015-05-01,300.219
2015-06-01,280.247
2015-07-01,309.603
2015-08-01,283.806
2015-09-01,246.755
2015-10-01,228.651
2015-11-01,219.830
2015-12-01,218.367
2016-01-01,223.372
2016-02-01,191.643
2016-03-01,208.369
2016-04-01,217.508
2016-05-01,217.766
2016-06-01,223.300
2016-07-01,220.516
2016-08-01,205.366
2016-09-01,212.508
2016-10-01,215.917
2016-11-01,215.875
2016-12-01,208.577
2017-01-01,217.767
2017-02-01,227.233
2017-03-01,233.940
2017-04-01,233.584
2017-05-01,233.161
2017-06-01,229.595
2017-07-01,223.750
2017-08-01,230.041
2017-09-01,242.911
2017-10-01,235.084
2017-11-01,248.485
2017-12-01,239.908
